Data Level,SCHOOL_YEAR,REPORTING_PERIOD,DISTRICT_NUMBER,DISTRICT_NAME,EMPLOYMENT_CATEGORY,GENDER,HEADCOUNT,FTE_VALUE,AVERAGE_AGE,AVERAGE_ANNUAL_SALARY_PER_FTE
District Level,2013/2014,Q1,10,Arrow Lakes,Teacher,All,41,36.2858,47,69225
District Level,2013/2014,Q1,10,Arrow Lakes,Teacher,Male,12,10.5986,42,68654
District Level,2013/2014,Q1,10,Arrow Lakes,Teacher,Female,29,25.6872,49,69456
District Level,2013/2014,Q4,10,Arrow Lakes,Administrator,All,Msk,Msk,Msk,Msk
District Level,2013/2014,Q4,10,Arrow Lakes,Administrator,Male,Msk,Msk,Msk,Msk
District Level,2013/2014,Q4,10,Arrow Lakes,Administrator,Female,Msk,Msk,Msk,Msk
District Level,2013/2014,Q4,10,Arrow Lakes,Educator,All,45,40.7397,48,74369
District Level,2013/2014,Q4,10,Arrow Lakes,Educator,Male,13,11.1592,42,71384
District Level,2013/2014,Q4,10,Arrow Lakes,Educator,Female,32,29.5805,50,75670
District Level,2013/2014,Q4,10,Arrow Lakes,Teacher,All,38,33.7397,47,69132
District Level,2013/2014,Q4,10,Arrow Lakes,Teacher,Male,12,10.1592,42,67659
District Level,2013/2014,Q4,10,Arrow Lakes,Teacher,Female,26,23.5805,49,69823
District Level,2013/2014,Q1,19,Revelstoke,Administrator,All,Msk,Msk,Msk,Msk
District Level,2013/2014,Q1,19,Revelstoke,Administrator,Male,Msk,Msk,Msk,Msk
District Level,2013/2014,Q1,19,Revelstoke,Administrator,Female,Msk,Msk,Msk,Msk
District Level,2013/2014,Q1,19,Revelstoke,Educator,All,73,68.208,42,71042
District Level,2013/2014,Q1,19,Revelstoke,Educator,Male,23,22.929,47,81031
District Level,2013/2014,Q1,19,Revelstoke,Educator,Female,50,45.279,40,67213
District Level,2013/2014,Q1,19,Revelstoke,Teacher,All,66,61.208,41,68342
District Level,2013/2014,Q1,19,Revelstoke,Teacher,Male,18,17.929,47,75167
District Level,2013/2014,Q1,19,Revelstoke,Teacher,Female,48,43.279,40,66223
District Level,2013/2014,Q4,19,Revelstoke,Administrator,All,Msk,Msk,Msk,Msk
District Level,2013/2014,Q4,19,Revelstoke,Administrator,Male,Msk,Msk,Msk,Msk
District Level,2013/2014,Q4,19,Revelstoke,Administrator,Female,Msk,Msk,Msk,Msk
District Level,2013/2014,Q4,19,Revelstoke,Educator,All,81,70.958,43,70782
District Level,2013/2014,Q4,19,Revelstoke,Educator,Male,24,23.643,47,79925
District Level,2013/2014,Q4,19,Revelstoke,Educator,Female,57,47.315,42,67125
District Level,2013/2014,Q4,19,Revelstoke,Teacher,All,74,63.958,43,68058
District Level,2013/2014,Q4,19,Revelstoke,Teacher,Male,19,18.643,46,73934
District Level,2013/2014,Q4,19,Revelstoke,Teacher,Female,55,45.315,41,66133
District Level,2013/2014,Q1,20,Kootenay-Columbia,Administrator,All,17,17,49,105026
District Level,2013/2014,Q1,20,Kootenay-Columbia,Administrator,Male,Msk,Msk,Msk,Msk
District Level,2013/2014,Q1,20,Kootenay-Columbia,Administrator,Female,Msk,Msk,Msk,Msk
District Level,2013/2014,Q1,20,Kootenay-Columbia,Educator,All,249,234.728,46,72881
District Level,2013/2014,Q1,20,Kootenay-Columbia,Educator,Male,72,68.724,46,78819
