Data Level,SCHOOL_YEAR,REPORTING_PERIOD,DISTRICT_NUMBER,DISTRICT_NAME,EMPLOYMENT_CATEGORY,GENDER,HEADCOUNT,FTE_VALUE,AVERAGE_AGE,AVERAGE_ANNUAL_SALARY_PER_FTE
District Level,2013/2014,Q4,8,Kootenay Lake,Teacher,Female,194.0,167.3115,46.0,70427.0
District Level,2013/2014,Q1,10,Arrow Lakes,Administrator,All,,,,
District Level,2013/2014,Q1,10,Arrow Lakes,Administrator,Male,,,,
District Level,2013/2014,Q1,10,Arrow Lakes,Administrator,Female,,,,
District Level,2013/2014,Q1,10,Arrow Lakes,Educator,All,48.0,43.2858,48.0,74019.0
District Level,2013/2014,Q1,10,Arrow Lakes,Educator,Male,13.0,11.5986,43.0,72263.0
District Level,2013/2014,Q1,10,Arrow Lakes,Educator,Female,35.0,31.6872,49.0,74697.0
District Level,2013/2014,Q1,10,Arrow Lakes,Teacher,All,41.0,36.2858,47.0,69225.0
District Level,2013/2014,Q1,10,Arrow Lakes,Teacher,Male,12.0,10.5986,42.0,68654.0
District Level,2013/2014,Q1,10,Arrow Lakes,Teacher,Female,29.0,25.6872,49.0,69456.0
District Level,2013/2014,Q4,10,Arrow Lakes,Administrator,All,,,,
District Level,2013/2014,Q4,10,Arrow Lakes,Administrator,Male,,,,
District Level,2013/2014,Q4,10,Arrow Lakes,Administrator,Female,,,,
District Level,2013/2014,Q4,10,Arrow Lakes,Educator,All,45.0,40.7397,48.0,74369.0
District Level,2013/2014,Q4,10,Arrow Lakes,Educator,Male,13.0,11.1592,42.0,71384.0
District Level,2013/2014,Q4,10,Arrow Lakes,Educator,Female,32.0,29.5805,50.0,75670.0
District Level,2013/2014,Q4,10,Arrow Lakes,Teacher,All,38.0,33.7397,47.0,69132.0
District Level,2013/2014,Q4,10,Arrow Lakes,Teacher,Male,12.0,10.1592,42.0,67659.0
District Level,2013/2014,Q4,10,Arrow Lakes,Teacher,Female,26.0,23.5805,49.0,69823.0
District Level,2013/2014,Q1,19,Revelstoke,Administrator,All,,,,
District Level,2013/2014,Q1,19,Revelstoke,Administrator,Male,,,,
District Level,2013/2014,Q1,19,Revelstoke,Administrator,Female,,,,
District Level,2013/2014,Q1,19,Revelstoke,Educator,All,73.0,68.208,42.0,71042.0
District Level,2013/2014,Q1,19,Revelstoke,Educator,Male,23.0,22.929,47.0,81031.0
District Level,2013/2014,Q1,19,Revelstoke,Educator,Female,50.0,45.279,40.0,67213.0
District Level,2013/2014,Q1,19,Revelstoke,Teacher,All,66.0,61.208,41.0,68342.0
District Level,2013/2014,Q1,19,Revelstoke,Teacher,Male,18.0,17.929,47.0,75167.0
District Level,2013/2014,Q1,19,Revelstoke,Teacher,Female,48.0,43.279,40.0,66223.0
District Level,2013/2014,Q4,19,Revelstoke,Administrator,All,,,,
District Level,2013/2014,Q4,19,Revelstoke,Administrator,Male,,,,
District Level,2013/2014,Q4,19,Revelstoke,Administrator,Female,,,,
District Level,2013/2014,Q4,19,Revelstoke,Educator,All,81.0,70.958,43.0,70782.0
District Level,2013/2014,Q4,19,Revelstoke,Educator,Male,24.0,23.643,47.0,79925.0
District Level,2013/2014,Q4,19,Revelstoke,Educator,Female,57.0,47.315,42.0,67125.0
District Level,2013/2014,Q4,19,Revelstoke,Teacher,All,74.0,63.958,43.0,68058.0
District Level,2013/2014,Q4,19,Revelstoke,Teacher,Male,19.0,18.643,46.0,73934.0
District Level,2013/2014,Q4,19,Revelstoke,Teacher,Female,55.0,45.315,41.0,66133.0
District Level,2013/2014,Q1,20,Kootenay-Columbia,Administrator,All,17.0,17.0,49.0,105026.0
District Level,2013/2014,Q1,20,Kootenay-Columbia,Administrator,Male,,,,
District Level,2013/2014,Q1,20,Kootenay-Columbia,Administrator,Female,,,,
District Level,2013/2014,Q1,20,Kootenay-Columbia,Educator,All,249.0,234.728,46.0,72881.0
District Level,2013/2014,Q1,20,Kootenay-Columbia,Educator,Male,72.0,68.724,46.0,78819.0
District Level,2013/2014,Q1,20,Kootenay-Columbia,Educator,Female,177.0,166.004,46.0,70519.0
District Level,2013/2014,Q1,20,Kootenay-Columbia,Teacher,All,232.0,217.728,46.0,70696.0
District Level,2013/2014,Q1,20,Kootenay-Columbia,Teacher,Male,60.0,56.724,46.0,73697.0
District Level,2013/2014,Q1,20,Kootenay-Columbia,Teacher,Female,172.0,161.004,46.0,69663.0
District Level,2013/2014,Q4,20,Kootenay-Columbia,Administrator,All,17.0,17.0,50.0,105026.0
District Level,2013/2014,Q4,20,Kootenay-Columbia,Administrator,Male,,,,
District Level,2013/2014,Q4,20,Kootenay-Columbia,Administrator,Female,,,,
District Level,2013/2014,Q4,20,Kootenay-Columbia,Educator,All,234.0,220.922,47.0,74174.0
District Level,2013/2014,Q4,20,Kootenay-Columbia,Educator,Male,68.0,66.309,47.0,79800.0
District Level,2013/2014,Q4,20,Kootenay-Columbia,Educator,Female,166.0,154.613,47.0,71899.0
District Level,2013/2014,Q4,20,Kootenay-Columbia,Teacher,All,217.0,203.922,47.0,71923.0
District Level,2013/2014,Q4,20,Kootenay-Columbia,Teacher,Male,56.0,54.309,46.0,74533.0
District Level,2013/2014,Q4,20,Kootenay-Columbia,Teacher,Female,161.0,149.613,47.0,71019.0
District Level,2013/2014,Q1,22,Vernon,Administrator,All,42.0,42.0,48.0,102008.0
District Level,2013/2014,Q1,22,Vernon,Administrator,Male,20.0,20.0,48.0,103657.0
District Level,2013/2014,Q1,22,Vernon,Administrator,Female,22.0,22.0,49.0,100433.0
District Level,2013/2014,Q1,22,Vernon,Educator,All,526.0,480.5111,45.0,74980.0
District Level,2013/2014,Q1,22,Vernon,Educator,Male,178.0,170.1784,46.0,78006.0
District Level,2013/2014,Q1,22,Vernon,Educator,Female,348.0,310.3327,45.0,73466.0
District Level,2013/2014,Q1,22,Vernon,Teacher,All,484.0,438.5111,45.0,72811.0
District Level,2013/2014,Q1,22,Vernon,Teacher,Male,158.0,150.1784,46.0,74875.0
District Level,2013/2014,Q1,22,Vernon,Teacher,Female,326.0,288.3327,45.0,71836.0
District Level,2013/2014,Q4,22,Vernon,Administrator,All,43.0,43.0,48.0,134139.0
District Level,2013/2014,Q4,22,Vernon,Administrator,Male,19.0,19.0,47.0,172332.0
